37
Player	Span	Mat	Inns	NO	Runs	HS	Ave	BFDescending	SR	100	50	0	4s	6s
G Gambhir	2007-2012	35	35	2	932	75	28.24	780	119.48	0	7	1	109	10
V Kohli	2010-2015	30	28	5	1016	78	44.17	766	132	0	9	0	106	23	
SK Raina	2006-2015	46	40	9	983	101	31.7	731	134.47	1	3	1	89	36
MS Dhoni	2006-2015	50	46	21	841	48	33.64	719	116.96	0	0	1	56	24
RG Sharma	2007-2015	44	37	11	867	106	33.34	676	128.25	1	7	1	75	32
Yuvraj Singh	2007-2014	38	36	6	967	77	32.23	665	145.41	0	8	0	61	63
V Sehwag	2006-2012	17	17	0	389	68	22.88	268	145.14	0	2	1	42	16
AM Rahane	2011-2015	13	13	0	273	61	21	235	116.17	0	1	1	24	6
RV Uthappa	2007-2015	11	11	2	199	42	22.11	172	115.69	0	0	1	22	4
YK Pathan	2007-2012	22	18	5	236	37	18.15	161	146.58	0	0	3	11	17
M Vijay	2010-2015	9	9	0	169	48	18.77	154	109	0	0	1	13	8	
IK Pathan	2006-2012	22	13	7	152	33	25.33	129	117.82	0	0	0	9	5
S Dhawan	2011-2015	8	8	0	115	33	14.37	111	103.6	0	0	1	14	2
RA Jadeja	2009-2014	22	12	3	84	25	9.33	95	88.42	0	0	1	4	1
Harbhajan Singh	2006-2015	25	12	5	107	21	15.28	83	128.91	0	0	1	11	4
KD Karthik	2006-2010	7	7	2	89	31	17.8	79	112.65	0	0	1	12	1
R Ashwin	2010-2015	28	7	4	66	17	22	62	106.45	0	0	0	7	1
D Mongia	2006-2006	1	1	0	38	38	38	45	84.44	0	0	0	4	1
S Badrinath	2011-2011	1	1	0	43	43	43	37	116.21	0	0	0	5	0
PA Patel	2011-2011	2	2	0	36	26	18	32	112.5	0	0	0	4	1
AR Patel	2015-2015	4	3	1	24	13	12	30	80	0	0	0	1	0
STR Binny	2015-2015	2	2	0	35	24	17.5	29	120.68	0	0	0	2	1
NV Ojha	2010-2010	2	2	0	12	10	6	27	44	0	0	0	2	0	
AB Dinda	2009-2012	9	2	1	22	19	22	24	91.66	0	0	0	1	0
SV Samson	2015-2015	1	1	0	19	19	19	24	79.16	0	0	0	1	0
MK Pandey	2015-2015	2	2	0	19	19	9.5	22	86.36	0	0	1	1	1
R Dravid	2011-2011	1	1	0	31	31	31	21	147.61	0	0	0	0	3
MK Tiwary	2011-2012	3	1	0	15	15	15	17	88.23	0	0	0	0	0
P Kumar	2008-2012	10	3	0	7	6	2.33	16	43	0	0	1	0	0	
A Nehra	2009-2011	8	3	0	22	22	7.33	16	137	0	0	2	1	2	
B Kumar	2012-2015	13	4	2	15	9	7.5	15	100	0	0	1	0	0	
KM Jadhav	2015-2015	2	2	0	14	9	7	13	107.69	0	0	0	1	0
SR Tendulkar	2006-2006	1	1	0	10	10	10	12	83.33	0	0	0	2	0
S Sreesanth	2006-2008	8	2	1	19	19	19	11	172.72	0	0	1	4	0
Z Khan	2006-2012	17	4	2	13	9	6.5	10	130	0	0	0	0	1	
I Sharma	2008-2013	14	3	2	8	5	8	9	88.88	0	0	1	1	0
AT Rayudu	2014-2015	3	3	1	3	3	1.5	8	37.5	0	0	2	0	0
